Art_Title,Department,Submission_Date,Artist,Nationality,Gender,Birth,Death
Untitled,Drawings,1997,Lee Bontecou,American,Female,1931,1975
La Monnaie,Photography,1905,Eugène Atget,French,Male,1857,1927
"White Billboard, Freeport, Long Island",Photography,1930,Kurt W. Baasch,American,Male,1891,1964
RCA Sound Systems,Architecture & Design,1954,Ladislav Sutnar,American,Male,1897,1976
"Remodelling of Modlinger House, Wannsee, Berlin (Floor plan)",Architecture & Design,1930,Lilly Reich,German,Female,1885,1947
Postal Dossier (Dossier postale),Prints & Illustrated Books,1969,Alighiero Boetti,Italian,Male,1940,1994
Dream,Prints & Illustrated Books,1939,Louise Bourgeois,American,Female,1911,2010
Concentration Camp,Prints & Illustrated Books,1949,Paul Peter Piech,American,Male,1920,1996
"Kempner House, Charlottenburg, Berlin, Germany (Staircase from basement to second floor. Sections.)",Architecture & Design,1922,Ludwig Mies van der Rohe,American,Male,1886,1969
Robert Doisneau,Photography,1979,Robert Doisneau,French,Male,1912,1994
The Maternal Man (for Parkett no. 82),Prints & Illustrated Books,2008,Louise Bourgeois,American,Female,1911,2010
"FILE- A Magazine is a Storehouse of Ideas, To Read, To Save. LIFE Magazine Is A Weekly Chronicle Of Man",Architecture & Design,1963,Dennis Wheeler,American,Male,1935,1975
WHITE SANDS (PLATE 2),Photography,1946,Brett Weston,American,Male,1911,1993
Plate (folio 18) from LE LÉZARD AUX PLUMES D'OR,Prints & Illustrated Books,1971,Joan Miró,Spanish,Male,1893,1983
"U.S. Iron Clad Ram ""Dictator""",Photography,1863,Unknown,Unknown,Unknown,1915,1975
Winter Storage,Film,1949,Jack Hannah,American,Male,1913,1994
"Untitled, plate 6 of 7, from the portfolio, Metamorfosis",Prints & Illustrated Books,1997,Louise Bourgeois,American,Female,1911,2010
Untitled from Vanish,Prints & Illustrated Books,1994,Sol LeWitt,American,Male,1928,2007
Nude with Raised Arms (Akt mit erhobenen Armen),Prints & Illustrated Books,1908,Emil Nolde,German,Male,1867,1956
Plate (folio 58) from LE BESTIAIRE,Prints & Illustrated Books,1948,Roger Chastel,French,Male,1897,1981
S1 from the portfolio LES LEVINE LXVI,Prints & Illustrated Books,1965,Les Levine,American,Male,1935,1975
Encierro (Confinement),Media and Performance Art,1968,Graciela Carnevale,Argentine,Female,1942,1975
24-Oct-67,Photography,1967,Shigeru Tamura,Japanese,Male,1909,1987
"Social Service Administration Building, University of Chicago, Chicago, IL, Site plan",Architecture & Design,1963,Ludwig Mies van der Rohe,American,Male,1886,1969
"Backyard off U.S. 98, Apalachicola, Florida, February 4, 1976",Photography,1976,Stephen Shore,American,Male,1947,1975
Double page plate (folios 7 verso and 8) from FOUNTAINHEAD,Prints & Illustrated Books,1991,Kiki Smith,American,Female,1954,1975
Bath from The Nude Man,Prints & Illustrated Books,1965,Beth Van Hoesen,American,Female,1926,2010
Disposal,Drawings,1980,Peter Dean,American,Male,1939,1993
"City Prison, Guatemala",Photography,1875,Eadweard J. Muybridge,American,Male,1830,1904
"Wolf House, Gubin, Poland, Second floor plan",Architecture & Design,1926,Ludwig Mies van der Rohe,American,Male,1886,1969
"Josef Esters House, Krefeld, Germany, Room plan with furniture placement",Architecture & Design,1928,Ludwig Mies van der Rohe,American,Male,1886,1969
"Les Espaces d'Abraxas: Le Palacio, Le Theatre, L'Arc, Marne-la-Vallée, France, Le Palacio: elevation",Architecture & Design,1979,Ricardo Bofill,Spanish,Male,1939,1975
Untitled from Gloria,Prints & Illustrated Books,2005,Alex Katz,American,Male,1927,1975
"San Antonio, Texas, Two Members of One of America's Most Oppressed Minorities--Mexicans in San Antonio, Texas--Who Do Not Lead Cheerless Lives,",Photography,1939,Peter Sekaer,American,Male,1901,1950
Under the Horse-Chestnut Tree,Prints & Illustrated Books,1896,Mary Cassatt,American,Female,1844,1926
"Kyle Residence, Houston, Texas, Plan",Architecture & Design,1995,Joel Sanders,American,Male,1956,1975
Untitled,Photography,2006,Jan Groover,American,Female,1943,2012
Folded,Painting & Sculpture,1965,Robyn Denny,British,Male,1930,2014
Fragile Decor (Léger décor) from the portfolio Textures from Phenomena (Les Phénomènes),Prints & Illustrated Books,1959,Jean Dubuffet,French,Male,1901,1985
Plate (folio 11) from BIOTHERM,Prints & Illustrated Books,1989,Jim Dine,American,Male,1935,1975
Tuileries - Coureuse par Coustou,Photography,1911,Eugène Atget,French,Male,1857,1927
"Untitled (plate, page 125) from the periodical Münchner Blätter für Dichtung und Graphik, vol. 1, no. 8 (August 1919)",Prints & Illustrated Books,1919,Rudolf Grossmann,German,Male,1882,1941
In-text plate (page 339) from LA 628-E8,Prints & Illustrated Books,1908,Pierre Bonnard,French,Male,1867,1947
SAINT ROCH. BALUSTRADE BOIS DORÉ,Photography,1912,Eugène Atget,French,Male,1857,1927
Die Stunde des Menschen,Architecture & Design,1953,Otl Aicher (also known as Otto Aicher),German,Male,1922,1991
Plate (folio 17 verso) from HAIKU,Prints & Illustrated Books,1964,Horst-Egon Kalinowski,German,Male,1924,2013
In-text plate (folio 9) from LES PÉLICAN,Prints & Illustrated Books,1921,Henri Laurens,French,Male,1885,1954
Plate (following errata) from LES MINUTES DE SABLE MÉMORIAL,Prints & Illustrated Books,1894,Alfred Jarry,French,Male,1873,1907
Head of a Girl (Mädchenkopf),Drawings,1912,Erich Heckel,German,Male,1883,1970
"THE POULTRY YARD (plate, page 69) from APHORISMES ET VARIÉTÉS",Prints & Illustrated Books,1939,Raoul Dufy,French,Male,1877,1953
Untitled from Campbell's Soup I,Prints & Illustrated Books,1968,Andy Warhol,American,Male,1928,1987
Follis Design letterhead (Letter to Elaine Lustig Cohen),Architecture & Design,1984,John Follis,American,Male,1923,1994
Plate (page 119) from LE SOLEIL DES EAUX,Prints & Illustrated Books,1949,Georges Braque,French,Male,1882,1963
Still Stills from Remake of Weekend,Photography,1998,Pipilotti Rist,Swiss,Female,1962,1975
Breath Text: Love Poem,Media and Performance Art,1971,VALIE EXPORT,Austrian,Female,1940,1975
Jardin Luxembourg,Photography,1902,Eugène Atget,French,Male,1857,1927
Double Helix Salad Fork,Architecture & Design,1985,Ward Bennett,American,Male,1917,2003
Skin Deep From Outer Space,Film,1982,Merrill Aldighieri,American,Male,1952,1975
Untitled,Photography,1963,Walter Silver,American,Male,1923,1998
Gagaku,Architecture & Design,1981,Takahisa Kamijyo,Japanese,Male,1940,1975
Versailles--La Fidélité par Lefebvre,Photography,1923,Eugène Atget,French,Male,1857,1927
Headpiece (page 43) from CIRQUE DE L'ÉTOILE FILANTE,Prints & Illustrated Books,1932,Georges Rouault,French,Male,1871,1958
Photo Mask of George Maciunas,Prints & Illustrated Books,1973,Peter Moore,American,Male,1932,1993
Mme. Creator's Handiwork,Prints & Illustrated Books,1965,Federico Castellon,American,Male,1914,1971
Vignette (folio 44 verso) from LES AMOURS,Prints & Illustrated Books,1915,Émile Bernard,French,Male,1868,1941
"V. C. Morris Gift Shop, San Francisco (Main floor plan)",Architecture & Design,1948,Frank Lloyd Wright,American,Male,1867,1959
Biker,Painting & Sculpture,1985,Susan Rothenberg,American,Female,1945,1975
Headpiece (page 39) from FABLES,Prints & Illustrated Books,1818,Thomas Bewick,British,Male,1753,1828
HÔTEL D'ECQUEVILLY. RUE DE TURENNE 60,Photography,1901,Eugène Atget,French,Male,1857,1927
"Anima 2, performed during Concert No. 1, Fully Guaranteed 12 Fluxus Concerts, Fluxhall, 359 Canal Street, New York, April 11, 1964",Fluxus Collection,1964,Takehisa Kosugi,Japanese,Male,1938,1975
Big and Little Bullys from Ruminations,Prints & Illustrated Books,1999,Robert Rauschenberg,American,Male,1925,2008
Untitled from Thirty-Three Herbs (Trentatre Erbe),Prints & Illustrated Books,1989,Giuseppe Penone,Italian,Male,1947,1975
Plate (page 23) from Feuilles éparses,Prints & Illustrated Books,1965,Camille Bryen,French,Female,1907,1976
"Weissenhof Apartment House, ""The Dwelling"" Exhibition, Stuttgart, Germany (House. Plan and elevation.)",Architecture & Design,1926,Ludwig Mies van der Rohe,American,Male,1886,1969
Kentucky,Photography,1972,William Gedney,American,Male,1932,1989
Violent Intervention,Photography,1927,Francis Bruguière,American,Male,1879,1945
In-text plate (page 268) from LA 628-E8,Prints & Illustrated Books,1908,Pierre Bonnard,French,Male,1867,1947
First state of plate 3 (folio 31) from QUATRE HISTOIRES DE BLANC ET NOIR,Prints & Illustrated Books,1926,František Kupka,Czech,Male,1871,1957
New Orleans,Photography,1982,Lee Friedlander,American,Male,1934,1975
Plate (page 78) from LES ÉLÉGIES MARTIALES,Prints & Illustrated Books,1917,Raoul Dufy,French,Male,1877,1953
"Plate from LE CAFÉ CONCERT (suite, folio 12)",Prints & Illustrated Books,1893,Henri-Gabriel Ibels,French,Male,1867,1936
Alphabet,Prints & Illustrated Books,1954,Hasegawa Sabro,Japanese,Male,1907,1957
"New National Gallery, Berlin, Germany (Floor plan of the terrace)",Architecture & Design,1967,Ludwig Mies van der Rohe,American,Male,1886,1969
The Road to Ypres,Prints & Illustrated Books,1916,Christopher Richard Wynne Nevinson,British,Male,1889,1946
Poesia Indigena,Prints & Illustrated Books,1966,Libero Badii,Argentine,Male,1916,2001
"Projects (""Here is the ideal proportion for a book..."")",Prints & Illustrated Books,1988,Rodney Graham,Canadian,Male,1949,1975
End Bad Breath,Architecture & Design,1967,Seymour Chwast,American,Male,1931,1975
"English poster issued by Shell Mex B.P., London, England",Architecture & Design,1921,Unknown,Nationality Unknown,Unknown,1915,1975
Untitled from Favorite Objects,Prints & Illustrated Books,1998,Christian Boltanski,French,Male,1944,1975
"Die neue Linie, Mai 1930",Architecture & Design,1930,Herbert Bayer,American,Male,1900,1985
"Meeting House, Southbury, Connecticut",Photography,1938,Wright Morris,American,Male,1910,1998
Untitled from Favorite Objects,Prints & Illustrated Books,1998,Christian Boltanski,French,Male,1944,1975
Untitled,Photography,1949,Unknown,Unknown,Unknown,1915,1975
Il Racconto dei racconti (Tale of Tales),Film,2015,Matteo Garrone,Italian,Male,1968,1975
Figure Composition,Prints & Illustrated Books,1919,Max Weber,American,Male,1881,1961
"Nazism, 12th Lecture: The Third and the Fourth Reich (El Nazismo, 12a conferencia: El tercer y el cuarto reich)",Prints & Illustrated Books,1938,Raúl Anguiano,Mexican,Male,1915,2006
Five Year Plan in Four Years,Architecture & Design,1930,Gustav Klutsis,Latvian,Male,1895,1938
Endless Envelope and Shadow Piece II from Fluxus 1,Prints & Illustrated Books,1976,Mieko Shiomi,Japanese,Female,1938,1975
THE MESSAGE from the portfolio APOCALYPSE,Prints & Illustrated Books,1961,Sid Hammer,American,Male,1926,1969
In-text plate (folio 9) from LE VERRE D'EAU,Prints & Illustrated Books,1949,Eugène Nestor de Kermadec,French,Male,1899,1976
Tailpiece (folio 66) from LES OEUVRES BURLESQUES ET MYSTIQUES DE FRÈRE MATOREL MORT AU COUVENT,Prints & Illustrated Books,1909,André Derain,French,Male,1880,1954
DIANE XVIe SIÈCLE. ÉCOLE DES BEAUX-ARTS,Photography,1911,Eugène Atget,French,Male,1857,1927
In-text plate (folio 7) from Poésie de mots inconnus,Prints & Illustrated Books,1949,Georges Braque,French,Male,1882,1963
"4th variant of ...CARRIED AWAY TO THE CONSTELLATIONS... (volume I, 19th unnumbered folio) from PASIPHAÉ",Prints & Illustrated Books,1962,Henri Matisse,French,Male,1869,1954
Journey from Home Is a Foreign Place,Prints & Illustrated Books,1999,Zarina,American,Female,1937,1975
Volcano,Drawings,1968,Werner Knaupp,German,Male,1936,1975
Mode: Kröner Fotos,Architecture & Design,1931,Georg Trump,German,Male,1896,1985
"Plate 5 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Prints & Illustrated Books,1995,Louise Bourgeois,American,Female,1911,2010
Are You Rea #13,Photography,1966,Robert Heinecken,American,Male,1931,2006
Untitled from the Dithyrambe series,Drawings,1964,Markus Lüpertz,German,Male,1941,1975
Billingsgate Fish Market,Photography,1934,Bill Brandt,British,Male,1904,1983
Untitled from Tangram,Prints & Illustrated Books,1990,Donald Baechler,American,Male,1956,1975
"Neural Net: Foveated, Retina-like Sensor, Silicon Microchip",Architecture & Design,1989,IMEC,American,Unknown,1915,1975
Untitled,Drawings,1978,Per Kirkeby,Danish,Male,1938,2018
Le Fin,Prints & Illustrated Books,1988,General Idea,Canadian,Male,1915,1975
Untitled from First Test,Prints & Illustrated Books,1988,Moshe Kupfermann,Israeli,Male,1926,2003
Jazz,Prints & Illustrated Books,2001,Elizabeth Murray,American,Female,1940,2007
"Fagus-Werk, Karl Benscheidt",Architecture & Design,1922,Johannes Molzahn,German,Male,1892,1965
Beach- Hollywood Zoo II,Prints & Illustrated Books,1967,Robert Andrew Parker,American,Male,1927,1975
Plate (folio 43) from BOOK,Prints & Illustrated Books,1982,Stephen Antonakos,American,Male,1926,2013
Untitled,Drawings,1970,Alan Saret,American,Male,1944,1975
Erich Mendelsohn stationery,Architecture & Design,1932,Unknown,German,Unknown,1915,1975
"SELF PORTRAIT, plate XII from THE GOD SEEKERS",Prints & Illustrated Books,1921,Reuven Rubin,Israeli,Male,1893,1974
"Untitled (After Malevich and Schiele), from the 1917 exhibition, Nature Morte Gallery, New York",Drawings,1984,Sherrie Levine,American,Female,1947,1975
Stranger Than Paradise,Film,1984,Jim Jarmusch,American,Male,1953,1975
"Ecosse, par les Trains de Luxe, LMS (Scotland by Luxury Train)",Architecture & Design,1928,A. M. Cassandre,French,Male,1901,1968
Calotypes by D.O. Hill,Photography,1845,David Octavius Hill,British,Male,1802,1870
Marchand de paniers de fil de fer,Photography,1899,Eugène Atget,French,Male,1857,1927
Sand Dune 5,Photography,1935,Brett Weston,American,Male,1911,1993
Object for Collection (nine),Painting & Sculpture,1967,Franz Erhard Walther,German,Male,1939,1975
"Lutheon House (Casa en El Amarillo), Caracas, Venezuela",Architecture & Design,1975,Jorge Castillo,Venezuelan,Male,1933,1975
Plate (page 49) from TAGEBÜCHER,Prints & Illustrated Books,1988,Antonio Saura,Spanish,Male,1930,1998
Untitled from The Group,Prints & Illustrated Books,2016,Ibrahim El-Salahi,Sudanese,Male,1930,1975
"Metropolitan, Swissair",Architecture & Design,1956,Kurt Wirth,Swiss,Male,1917,1975
"Drie Stuivers Bal, Eerste bal van de Vereeniging: Vrienden van de Nieuwe Kunstschool",Architecture & Design,1935,Hajo Rose,German,Male,1910,1989
U.S.A Surpasses All the Genocide Records,Prints & Illustrated Books,1966,George Maciunas,American,Male,1931,1978
Untitled,Photography,1949,Unknown,Unknown,Unknown,1915,1975
Industrialist,Photography,1929,August Sander,German,Male,1876,1964
Untitled,Photography,1915,Unknown,Unknown,Unknown,1915,1975
Red Rock Palms from Biome,Prints & Illustrated Books,2012,William Leavitt,American,Male,1941,1975
"Untitled (Kunsthalle Zürich, Switzerland, 2007)",Prints & Illustrated Books,2007,Christopher Williams,American,Male,1956,1975
Torrents of Memory. (boy washing hands),Photography,1991,Dennis Farber,American,Male,1946,1975
In Honor of the Man of Wonders (En Honor Del Señor de las Maravillas),Prints & Illustrated Books,1904,José-Guadalupe Posada,Mexican,Male,1852,1913
"Nile Delta, Egypt",Photography,1963,Dorothea Lange,American,Female,1895,1965
"Seagram Building, New York City, New York, Plaza sculpture sketch",Architecture & Design,1956,Ludwig Mies van der Rohe,American,Male,1886,1969
Three Women III,Prints & Illustrated Books,2006,Christopher Wool,American,Male,1955,1975
"Green Ground, Blue Disc",Prints & Illustrated Books,1966,Adolph Gottlieb,American,Male,1903,1974
The Wild Boar,Prints & Illustrated Books,1935,Gabor Peterdi,American,Male,1915,2001
"UPSIDEDOWN (plate, folio 4) from PINK JELLY",Prints & Illustrated Books,1965,Kinji Akagawa,Japanese,Male,1940,1975
Naming Tokyo (part II),Prints & Illustrated Books,2003,Aleksandra Mir,American,Female,1967,1975
D.E.d.A.6 from Courage to Print (Mut zum Druck),Prints & Illustrated Books,1990,Martin Kippenberger,German,Male,1953,1997
"Windermere, from Low-Wood Inn",Photography,1860,Francis Frith,British,Male,1822,1898
"Imperial Exposition of the German Textile and Garment Industry, Berlin, Germany (Elevations, plan, and sections. Tables for textile designs. Industrial fabrics grouping.
)",Architecture & Design,1937,Lilly Reich,German,Female,1885,1947
Untitled from Ephemera,Prints & Illustrated Books,2009,Christian Marclay,American,Male,1955,1975
25 Years (25 Ans),Prints & Illustrated Books,1968,Christian Fossier,French,Male,1943,2013
"DECEMBER (headpiece, page 63) from ALMANACH DES LETTRES ET DES ARTS",Prints & Illustrated Books,1917,Raoul Dufy,French,Male,1877,1953
Boustrophedon (Ox-Turning),Prints & Illustrated Books,1979,Esti Schur,Israeli,Female,1915,1975
"The Brown Sisters, Harwich Port, Massachusetts",Photography,1978,Nicholas Nixon,American,Male,1947,1975
Laes Politiken,Architecture & Design,1979,Per Arnoldi,Danish,Male,1941,1975
"Untitled, no. 4 of 34, from the illustrated book, Ode à l'Oubli",Prints & Illustrated Books,2004,Louise Bourgeois,American,Female,1911,2010
"Novyi LEF. Zhurnal levogo fronta iskusstv (New LEF: Journal of the Left Front of the Arts), no. 3",Prints & Illustrated Books,1928,Aleksandr Rodchenko,Russian,Male,1891,1956
"""Paris Unfolds"" Map",Architecture & Design,1984,Stephan Van Dam,American,Male,1959,1975
Sketchbook,Architecture & Design,1920,Hans Poelzig,German,Male,1869,1936
In-text plate (folios 37 verso and 38 recto) from In Memory of My Feelings,Prints & Illustrated Books,1967,John Button,American,Male,1930,1982
Untitled #5,Prints & Illustrated Books,2016,Vija Celmins,American,Female,1938,1975
Plate (folio 38) from MICROCOSME,Prints & Illustrated Books,1965,Zwi Milshtein,Israeli,Male,1934,1975
Ursula 61,Prints & Illustrated Books,1961,Paul Wunderlich,German,Male,1927,2010
Strong Winds Blow in Western Ireland,Photography,1954,Dorothea Lange,American,Female,1895,1965
Green Spots,Drawings,1996,Tomma Abts,German,Female,1967,1975
Drawing for With Energy Beyond These Walls,Drawings,1969,Juan Downey,Chilean,Male,1940,1993
Poster of the French National Railroad,Architecture & Design,1921,Album-miscellaneous,Various,Unknown,1915,1975
"Abandoned Windbreak on the West Side of Fontana, California",Photography,1983,Robert Adams,American,Male,1937,1975
In-text plate (page 37) from PANTAGRUEL,Prints & Illustrated Books,1943,André Derain,French,Male,1880,1954
"Roaring Mountain, Yellowstone National Park",Photography,1948,Ansel Adams,American,Male,1902,1984
"Urban Proposal with Multi Thin-Shell Capsules, project (Scale model)",Architecture & Design,1974,Daniel Grataloup,Swiss,Male,1937,1975
European Diary,Film,1979,Howard Guttenplan,American,Male,1934,2015
Exposition Vallauris,Architecture & Design,1953,Pablo Picasso,Spanish,Male,1881,1973
"Nobilissima Visione or St. Francis, design for ballet (Backdrop for Scene IV/Backdrop (Scene V) with sketches of Hands )",Drawings,1938,Pavel Tchelitchew,American,Male,1898,1957
Plate (folio 15) from LA MÉTROMANIE,Prints & Illustrated Books,1949,Jean Dubuffet,French,Male,1901,1985
"Irène and Frédéric Joliot-Curie, Paris",Photography,1945,Henri Cartier-Bresson,French,Male,1908,2004
Cancellation proof for In a Chiaroscuro from The Blue Guitar,Prints & Illustrated Books,1977,David Hockney,British,Male,1937,1975
"Anele, 'Anza' Khaba, KwaThema Community Hall, Springs, Johannesburg",Photography,2011,Zanele Muholi,South African,Female,1972,1975
In-text plate (folio 17) from LA MÉTROMANIE,Prints & Illustrated Books,1949,Jean Dubuffet,French,Male,1901,1985
Shot Glasses,Architecture & Design,1953,Kaj Franck,Finnish,Male,1911,1989
Untitled. (men emptying cotton bags),Photography,1940,Dorothea Lange,American,Female,1895,1965
Fraternity Student,Photography,1925,August Sander,German,Male,1876,1964
ÉTAMPES. PETIT PORCHE HÔTEL DIEU,Photography,1907,Eugène Atget,French,Male,1857,1927
Officers on the Lookout at Cathcart's Hill,Photography,1855,Roger Fenton,British,Male,1819,1869
Untitled,Photography,1949,Unknown,Unknown,Unknown,1915,1975
"Camargue, X",Painting & Sculpture,1958,Fritz Koenig,German,Male,1924,1975
Tailpiece (page 89) from FLORILÈGE DES AMOURS,Prints & Illustrated Books,1944,Henri Matisse,French,Male,1869,1954
Dognat' i peregnat' v tekhniko-ekonomicheskom otnoshenii peredovye kapitalisticheskie strany v 10 let. 70 kartinnye diagrammna otkrytkakh,Prints & Illustrated Books,1931,Unknown,Unknown,Unknown,1915,1975
Coffee Pot,Architecture & Design,1904,Paul Haustein,German,Male,1880,1944
Turning Out the Light from New York City Life,Prints & Illustrated Books,1905,John Sloan,American,Male,1871,1951
How to Play Baseball,Film,1942,Jack Kinney,American,Male,1909,1992
Contribuir para A Criação da Grande Siderurgia e Tomar Parte Ativa na Emancipação Econômica do Brasil,Architecture & Design,1946,Monteiro Filho,Brazilian,Male,1925,1975
How to Read from In Our Time: Covers for a Small Library After the Life for the Most Part,Prints & Illustrated Books,1969,R. B. Kitaj,American,Male,1932,2007
Headpiece (page 89) from SAINTE MONIQUE,Prints & Illustrated Books,1925,Pierre Bonnard,French,Male,1867,1947
Untitled,Photography,1940,Rudy Burckhardt,American,Male,1914,1999
Chair without Arms. Chair Details. (Perspective and elevation sketches),Architecture & Design,1929,Ludwig Mies van der Rohe,American,Male,1886,1969
Yosemite in Winter,Photography,1933,Ansel Adams,American,Male,1902,1984
Headpiece (folio 33) from LES AMOURS,Prints & Illustrated Books,1915,Émile Bernard,French,Male,1868,1941
Parnassus,Drawings,2003,D-L Alvarez,American,Male,1965,1975
"Man and Woman, Yokohama",Photography,1969,Daido Moriyama,Japanese,Male,1938,1975
Untitled from Cardinations,Prints & Illustrated Books,1974,Jo Baer,American,Female,1929,1975
"Spidoléine, Sécurité",Architecture & Design,1932,A. M. Cassandre,French,Male,1901,1968
Careless Talk Costs Lives - Strictly between these four walls,Architecture & Design,1940,Fougasse (Cyril Kenneth Bird),British,Male,1887,1965
"Tracing on Mylar for Triptych for the Red Room, Center Panel (B)",Prints & Illustrated Books,1994,Louise Bourgeois,American,Female,1911,2010
"Memento (in-text plate, folio 15) from Oda a Lorca",Prints & Illustrated Books,1962,Antonio Frasconi,American,Male,1919,2013
"Musketeer Sitting Down with a Young Boy and Recalling His Life (Mousquetaire attablé avec un jeune garçon, évoquant sa vie) from Suite 347",Prints & Illustrated Books,1968,Pablo Picasso,Spanish,Male,1881,1973
Genghis Chan: Private Eye,Prints & Illustrated Books,1997,Edward Paschke,American,Male,1939,2004
"Staatsgalerie Stuttgart, Stuttgart, Germany, Elevation of gallery entrance and perspective of canopy from below",Architecture & Design,1978,James Stirling,British,Male,1926,1992
A partok elindulnak (The shores heading out),Prints & Illustrated Books,1925,Lajos Kassák,Hungarian,Male,1887,1967
First state of plate 5 (folio 33) from QUATRE HISTOIRES DE BLANC ET NOIR,Prints & Illustrated Books,1926,František Kupka,Czech,Male,1871,1957
Macumba,Photography,1961,Claudia Andujar,American,Female,1931,1975
The Inside Is the Outside,Painting & Sculpture,1963,Lygia Clark,Brazilian,Female,1920,1988
Adirondack Chair,Prints & Illustrated Books,1988,Robert Cumming,American,Male,1943,1975
"Charles Newington, Printer from The Rime of the Ancient Mariner",Prints & Illustrated Books,1976,Patrick Procktor,British,Male,1936,2003
"Santa Fe, New Mexico",Photography,1995,Lee Friedlander,American,Male,1934,1975
Entomologist (Entomologe),Photography,1935,Mieczyslaw Berman,Polish,Male,1903,1975
Hubbe-related Study,Architecture & Design,1934,Ludwig Mies van der Rohe,American,Male,1886,1969
Triumph of St. Valentine,Prints & Illustrated Books,1963,Warrington Colescott,American,Male,1921,1975
Bill Graham Presents The New Generation and The Jaywalkers with The Charlatans,Architecture & Design,1966,Wes Wilson,American,Male,1937,1975
Color Sphere in 7 Light Values and 12 Tones (Farbenkugel in 7 Lichtstufen und 12 Tönen),Prints & Illustrated Books,1921,Johannes Itten,Swiss,Male,1888,1967
Feltron Annual Reports,Architecture & Design,2010,Nicholas Felton,American,Male,1977,1975
Manhole,Photography,1970,Joseph Dankowski,American,Male,1932,2010
RUE DE VALOIS -- BALCON,Photography,1899,Eugène Atget,French,Male,1857,1927
"Dry Tide Pool, Point Lobos",Photography,1939,Edward Weston,American,Male,1886,1958
"Untitled (Gathering of Animals) [Tierversammlung], illustration to Robert Walser's ""Der Handelsmann"" (headpiece, folio 49) from the periodical Der Bildermann, supplement to vol. 1, no. 6 (Jun 1916)",Prints & Illustrated Books,1916,August Gaul,German,Male,1869,1921
Dissemination,Drawings,2003,Marco Maggi,Uruguayan,Male,1957,1975
"Half Lies, Paper Illusions (Medias Mentiras, Ilusiones de Papel)",Media and Performance Art,1990,Ximena Cuevas,Mexican,Female,1963,1975
Flower Window,Photography,1957,Suzanne Hausammann,American,Female,1937,1975
"A gift for the master (Obsequio á el maestro) (plate 47, folio 47) from Los Caprichos",Prints & Illustrated Books,1798,Francisco de Goya,Spanish,Male,1746,1828
HURRICANE SERIES,Prints & Illustrated Books,1979,Joan Jonas,American,Female,1936,1975
Untitled from Black and Red Series (Série noire et rouge),Prints & Illustrated Books,1938,Joan Miró,Spanish,Male,1893,1983
Notation for Braun Jet,Fluxus Collection,1985,Nam June Paik,American,Male,1932,2006
Reticule of Love,Film,1963,Storm de Hirsch,American,Female,1912,2000
Untitled,Prints & Illustrated Books,1970,Jan Stussy,American,Male,1921,1990
Flowers,Prints & Illustrated Books,1919,Arthur B. Davies,American,Male,1862,1928
Untitled,Photography,1928,Walker Evans,American,Male,1903,1975
Untitled,Prints & Illustrated Books,1967,Maryan S. Maryan,American,Male,1927,1977
"Wingspread, Herbert F. Johnson House, Racine, WI",Architecture & Design,1940,Frank Lloyd Wright,American,Male,1867,1959
In-text plate (page 115) from LA RÉVOLTE DES ANGES,Prints & Illustrated Books,1948,Kees van Dongen,French,Male,1877,1968
Texture II Drapery Fabric,Architecture & Design,1952,Hugo Dreyfuss,Unknown,Male,1915,1975
Blues April 30 2000,Prints & Illustrated Books,2000,Donald Sultan,American,Male,1951,1975
(Untitled),Prints & Illustrated Books,1961,Hannes Schwarz,Austrian,Male,1926,1975
Tailpiece (page 118) from SAINTE MONIQUE,Prints & Illustrated Books,1925,Pierre Bonnard,French,Male,1867,1947
Plate (folio 62) from ADVENTURES IN KU-TA-BA WA-DO,Prints & Illustrated Books,1973,Gerald Jackson,American,Male,1943,1975
Eclipse,Drawings,2007,Gilda Mantilla,Peruvian,Female,1967,1975
Plate (page 77) from DISCOURS DE LA MÉTHODE,Prints & Illustrated Books,1948,Roger Vieillard,French,Male,1907,1989
"First Unitarian Church and School, Rochester, New York, Final version: elevation",Architecture & Design,1961,Louis I. Kahn,American,Male,1901,1974
Rome,Photography,1954,Dan Weiner,American,Male,1919,1959
Text panel from the series Fish Story,Photography,1991,Allan Sekula,American,Male,1951,2013
El Corandero,Media and Performance Art,1979,Shalom Gorewitz,American,Male,1949,1975
The Scribe Huanta,Prints & Illustrated Books,1930,José Sabogal,Peruvian,Male,1888,1956
"In-text plate (folio 4) from AMISH, Volume III",Prints & Illustrated Books,1968,Stephen White,American,Male,1948,1975
"LANDSCAPE - NEAR RED WING, MINNESOTA",Photography,1973,Frank Gohlke,American,Male,1942,1975
Saint-Cloud,Photography,1923,Eugène Atget,French,Male,1857,1927
"Man, Getting Up From a Chair",Prints & Illustrated Books,1988,Matthias Mansen,German,Male,1958,1975
Tsubo Shape Jar,Architecture & Design,1981,Shigeyoshi Morioka,Japanese,Male,1941,1975
Volksverband für Filmkunst München letterhead,Architecture & Design,1920,Jan Tschichold,Swiss,Male,1902,1974
"Root, Hoch Skiport",Photography,1954,Paul Strand,American,Male,1890,1976
"Vignette next to ""White Foam"" (Vignette bei ""Weisser Schaum"") (headpiece, folio 42, verso) from Klänge (Sounds)",Prints & Illustrated Books,1913,Vasily Kandinsky,French,Male,1866,1944
Liebelei,Film,1932,Max Ophuls,German,Male,1902,1957
